Ghazal/Nazm,Poet,Fran,Rekhta,Music,Others,PDFs,Date,Status
yih nah thī hamārī qismat kih viṣāl-e yār hotā,Ghalib,https://franpritchett.com/00ghalib/020/index_020.html,,"- Ustad Amanat Ali Khan: https://www.youtube.com/watch?v=Lb-sx2oTEIc

- Begum Akhtar: https://www.youtube.com/watch?v=TXohSWxSHxU

- Habib Wali Mohammad: https://www.youtube.com/watch?v=tiEL_sSsQDA

- Abida Parveen: https://www.youtube.com/watch?v=Tpxk1feVkuY

- Ahmed Hussain, Mohd. Hussain: https://www.youtube.com/watch?v=zVkhlpYs0yI

- Hamid Ali Khan: https://www.youtube.com/watch?v=N45mvfRRgHg

- Talat Aziz: https://www.youtube.com/watch?v=C0QkeUiVObo

- Mohammad Rafi: https://www.youtube.com/watch?v=SZTekgcRdYU

- Tina Sani: https://www.youtube.com/watch?v=q7Tcno3ZQ4w

- Fariha Pervaiz: https://www.youtube.com/watch?v=-qkotOr8HZQ

- Jagjit Singh: https://www.youtube.com/watch?v=D9pH6JzSYx0

- Sabri Brothers: https://www.youtube.com/watch?v=K43R5JAUOmE",,,"May 3, 2024",Added
havas ko hai nashāt̤-e kār kyā kyā,Ghalib,https://franpritchett.com/00ghalib/021/index_021.html,,,,,"May 10, 2024",Added
āñkhoñ se rāh ʿishq kī ham jūñ nigah gaʾe,Mir Taqi Mir,https://franpritchett.com/00garden/12c/1264/index_1264.html,,,,,"May 17, 2024",Added
ʿishq kī hai bīmārī ham ko dil apnā sab dard huʾā,Mir Taqi Mir,https://franpritchett.com/00garden/13c/1333/index_1333.html,,,,,"May 24, 2024",Added
dar-ḳhvur-e qahr-o-ġhaẓab jab koʾī ham sā nah huʾā,Ghalib,https://franpritchett.com/00ghalib/022/index_022.html,,,,,"May 24, 2024",Added
ḳhūb kiyā jo ahl-e karam ke jūd kā kuchh nah ḳhayāl kiyā,Mir Taqi Mir,https://franpritchett.com/00garden/13c/1337/index_1337.html,,,,,"May 31, 2024",Added
ġham-e-āshiqī se kah do rah-e-ām tak na pahuñche,Shakeel Badayuni,,https://www.rekhta.org/ghazals/gam-e-aashiqii-se-kah-do-rah-e-aam-tak-na-pahunche-shakeel-badayuni-ghazals?lang=ur,,,,"May 31, 2024",Added
paʾe nażr-e karam tuḥfah hai sharm-e nā-rasāʾī kā,Ghalib,https://franpritchett.com/00ghalib/024/index_024.html,,,,,"June 7, 2024",Added
dil ko kahīñ lagne do mere kyā kyā rang dikhāʾūñgā,Mir Taqi Mir,https://franpritchett.com/00garden/13c/1341/index_1341.html,,,,,"June 14, 2024",Added
gar nah andoh-e shab-e furqat bayāñ ho jāʾegā,Ghalib,https://franpritchett.com/00ghalib/025/index_025.html,,,,,"June 21, 2024",Added
badan pe pairahan-e-ḳhāk ke sivā kyā hai,Himayat Ali Shayar,,https://www.rekhta.org/ghazals/badan-pe-pairahan-e-khaak-ke-sivaa-kyaa-hai-himayat-ali-shayar-ghazals?lang=ur,"- Recitation by Poet:  https://www.youtube.com/watch?v=rjjLmCTVEig&t=11m
	",,,"June 21, 2024",Added
thā muḥabbat se kabhū ham meñ kabhū yih ġham meñ thā,Mir Taqi Mir,https://franpritchett.com/00garden/13c/1350/index_1350.html,,,,,"June 28, 2024",Added
huʾā jo dil ḳhūñ ḳharābī āʾī har ek aʿẓā meñ hai futūr ab,Mir Taqi Mir,https://franpritchett.com/00garden/13c/1352/index_1352.html,,,,,"July 5, 2024",Added
dard minnat-kash-e davā nah huʾā,Ghalib,https://franpritchett.com/00ghalib/026/index_026.html,,"- Begum Akhtar: https://www.youtube.com/watch?v=9E7z3GGhR54

- Ustad Anis Ahmed: https://www.youtube.com/watch?v=2XLROyq_hKM

- Mohd. Rafi: https://www.youtube.com/watch?v=8c213rkrQfA

- Lata Mangeshkar: https://www.youtube.com/watch?v=uS9DpVkQeGQ

- Noor Jehan: https://www.youtube.com/watch?v=6miPdM1T8xc

- Paresh Pewekar: https://www.youtube.com/watch?v=pIHJ9BqmLrw

- Ali Raza: https://www.youtube.com/watch?v=-NWq-GqpLO4

- Jagjit Singh: https://www.youtube.com/watch?v=AU41mce4jyw

- Zia Mohiuddin: https://www.youtube.com/watch?v=iIRAWC3ehCg",,,"July 5, 2024",Added
gul munʿakis huʾe haiñ bahut āb-jū ke bīch,Mir Taqi Mir,https://franpritchett.com/00garden/13c/1373/index_1373.html,,,,,"July 12, 2024",Added
gilah hai shauq ko dil meñ bhī tangī-e jā kā,Ghalib,https://franpritchett.com/00ghalib/027/index_027.html,,,,,"July 12, 2024",Added
har baar mere sāmne aatī rahī ho tum,Jaun Elia,,https://www.rekhta.org/nazms/sazaa-har-baar-mere-saamne-aatii-rahii-ho-tum-jaun-eliya-nazms?lang=ur,"- Jaun Elia Ko Malal Tha by Zehra Nigah:  https://youtu.be/f63kYHiv8yY

- Javed Akhtar on Jaun Elia:https://youtu.be/-e_j-5x30OQ

- Ahmad Javaid on Jaun Elia:  https://youtu.be/Qg6BAKaWwXU

- Sohaina Elia on her father:  https://youtu.be/9VL3-T3lk90?si=XGFtICQhEd769djP

- Remembering Jaun Elia: https://youtu.be/o-cEXQXkQoQ",,,"July 19, 2024",Added
log bahut pūchhā karte haiñ kyā kahye myāñ kyā hai ʿishq,Mir Taqi Mir,https://franpritchett.com/00garden/14c/1417/index_1417.html,,,,,"July 26, 2024",Added
ghar hamārā jo nah rote bhī to vīrāñ hotā,Ghalib,https://franpritchett.com/00ghalib/031/index_031.html,,,,,"July 26, 2024",Added
nah thā kuchh to ḳhudā thā kuchh nah hotā to ḳhudā hotā,Ghalib,https://franpritchett.com/00ghalib/032/index_032.html,,,,,"July 26, 2024",Added
kuchh is adā se aaj vo pahlū-nashīñ rahe,Jigar Moradabadi,,https://www.rekhta.org/ghazals/kuchh-is-adaa-se-aaj-vo-pahluu-nashiin-rahe-jigar-moradabadi-ghazals?lang=ur,"'- Ustad Ameer Ali Khan (Dream Journey):  https://www.youtube.com/watch?v=CKZhSNJn9vA

- Ustad Ameer Ali, Rafiq Ali, and Barkat Khan:  https://www.youtube.com/watch?v=9WtfOBgGi8c

- Shankar Shambhu Qawwal:  https://www.youtube.com/watch?v=kznOGu-nuwE

- Abida Parveen:  https://www.youtube.com/watch?v=SugUhKJGdBU

- Sudha Malhotra:  https://www.youtube.com/watch?v=m_6ClhiYXZk",,,"August 2, 2024",Added
ma.āl-e-soz-e-ġham-hā-e-nihānī dekhte jaao,Fani Badayuni,,https://www.rekhta.org/ghazals/maaal-e-soz-e-gam-haa-e-nihaanii-dekhte-jaao-fani-badayuni-ghazals?lang=ur,"- Fani Badayuni Short Bio Documentary: https://www.youtube.com/watch?v=1a1QbvJKHz0

- M.A. Raheem: https://www.youtube.com/watch?v=ppiHCCI6emE

- Chitra Singh:  https://www.youtube.com/watch?v=TQ3QcXlvbu0

- Vithal Rao:  https://www.youtube.com/watch?v=AK7rHR4NOao

- Mubarak Begum: https://youtu.be/f1xiDRPrMZM

- Lutufullah Khan Reads:  https://www.youtube.com/watch?v=JiJ0UOk_LfQ
",,,"August 9, 2024",Added
yak żarrah-e zamīñ nahīñ bekār bāġh kā,Ghalib,https://franpritchett.com/00ghalib/033/index_033.html,,,,,"August 16, 2024",Added
vuh mirī chīn-e jabīñ se ġham-e pinhāñ samjhā,Ghalib,https://franpritchett.com/00ghalib/034/index_034.html,,,,,"August 23, 2024",Added
kār-gāh-e-duniyā kī nestī bhī hastī hai,Yagana Changezi,,https://www.rekhta.org/ghazals/kaar-gaah-e-duniyaa-kii-nestii-bhii-hastii-hai-yagana-changezi-ghazals?lang=ur,,,,"August 30, 2024",Added
duniyā merī balā jaane mahñgī hai yā sastī hai,Fani Badayuni,,https://www.rekhta.org/ghazals/duniyaa-merii-balaa-jaane-mahngii-hai-yaa-sastii-hai-fani-badayuni-ghazals?lang=ur,"- Ustad Aslam Khan: https://www.youtube.com/watch?v=HB7H3-dMcQA
",,,"September 6, 2024",Added
nazdīk ʿāshiqoñ ke zamīñ hai qarār-e ʿishq,Mir Dard,https://franpritchett.com/00garden/14c/1419/index_1419.html,,,,,"September 13, 2024",Added
phir mujhe dīdah-e tar yād āyā,Ghalib,https://franpritchett.com/00ghalib/035/index_035.html,,"- Mehdi Hassan: https://www.youtube.com/watch?v=mRtcD0xm89s

- Begum Akhtar: https://www.youtube.com/watch?v=AE47dd6ab6M

- Lata Mangeshkar: https://www.youtube.com/watch?v=41OorAKmKRw

- Talat Mahmood: https://www.youtube.com/watch?v=59cve-fDWBA
",,,"September 13, 2024",Added
z̤ulm huʾe haiñ kyā kyā ham par ṣabr kiyā hai kyā kyā ham,Mir Taqi Mir,https://franpritchett.com/00garden/14c/1437/index_1437.html,,,,,"September 20, 2024",Added
ṣubḥ huʾī gulzār ke t̤āʾir dil ko apne ṭaṭoleñ haiñ,Mir Taqi Mir,https://franpritchett.com/00garden/14c/1450/index_1450.html,,- Shams-ur-Rehman Faruqi: https://www.youtube.com/watch?v=RdydVnxWUuY,,,"September 27, 2024",Added
huʾī tāḳhīr to kuchh bāʿiṡ-e tāḳhīr bhī thā,Ghalib,https://franpritchett.com/00ghalib/036/index_036.html,,"- Ustad Hamid Ali Khan: https://www.youtube.com/watch?v=QY2zopEGRag

- Farida Ali: https://www.youtube.com/watch?v=GdduOaAS2sM
",,,"September 27, 2024",Added
milegi shaiKh ko jannat hameN dozaKh ata hoga,Hari Chand Akhtar,,https://urdushahkar.org/insaaf-kya-hoga-hari-chand-akhtar/,,,,"October 4, 2024",Added
nauras Ghunche paNkhaRiyoN ki naazuk gir’heN khole haiN,Firaq Gorakhpuri,,https://urdushahkar.org/par-tolen-hain-raghupati-sahay-firaq-gorakhpuri/,,,,"October 11, 2024",Added
kāsh tā sham’a na hotā guzar-e-parvāna,Mir Dard,,https://docs.google.com/document/d/1VXSJYr5GfQhr5PY2gUHvuLaqjIib_ff_03V6sKdlF-Y/edit?tab=t.0,"- Manzoor Ahmed Niazi:  https://www.youtube.com/watch?v=r7H9FcDrNOs
",,,"October 18, 2024",Added
Āj mere dil kī vīrānī,Aziz Hamid Madni,,https://docs.google.com/document/d/1_RlXYkhpkngBUWUm1KFr0_TYc7SeK11eNFMpLjSrl04/edit?tab=t.0,"- Aakhri Raat: https://www.youtube.com/watch?v=udEM_FHXIDg
- On Aziz Hamid Madni: https://www.youtube.com/watch?v=vz8B45I7VeU
",,,"November 1, 2024",Added
ghar jab banā liyā tire dar par kahe baġhair,Ghalib,https://franpritchett.com/00ghalib/059/index_059.html,,,,,"November 1, 2024",Added
vuh nahīñ ab kih fareboñ se lagā lete haiñ,Mir Taqi Mir,https://franpritchett.com/00garden/14c/1457/index_1457.html,,,,,"November 15, 2024",Added
āʾīnah dekh apnā-sā muñh le ke rah gaye,Ghalib,https://franpritchett.com/00ghalib/040/index_040.html,,,,,"November 15, 2024",Added
ṣabr kahāñ jo tum se kahiye lag ke gale se so jāʾo,Mir Taqi Mir,https://franpritchett.com/00garden/14c/1480/index_1480.html,,,,,"November 22, 2024",Added
tū dost kisī kā bhī sitamgar nah huʾā thā,Ghalib,https://franpritchett.com/00ghalib/038/index_038.html,,,,,"November 22, 2024",Added
der se ham ko bhūl gaʾe ho yād karo to bihtar hai,Mir Taqi Mir,https://franpritchett.com/00garden/14c/1498/index_1498.html,,,,,"November 29, 2024",Added
shab kih vuh majlis-furoz-e ḳhalvat-e nāmūs thā,Ghalib,https://franpritchett.com/00ghalib/039/index_039.html,,,,,"November 29, 2024",Added
chalo chaman meñ jo dil khule ṭuk baham ġham-e dil kahā kareñge,Mir Taqi Mir,https://franpritchett.com/00garden/15c/1502/index_1502.html,,,,,"December 6, 2024",Added
ʿarẓ-e niyāz-e ʿishq ke qābil nahīñ rahā,Ghalib,https://franpritchett.com/00ghalib/041/index_041.html,,"'- Asad Amanat Ali Khan: https://www.youtube.com/watch?v=-t84rLqRFDE

- Mehdi Hassan: https://www.youtube.com/watch?v=hdQLRcfGkHQ

- Iqbal Bano(Raag Darbari): https://www.youtube.com/watch?v=y8POo3_vRsU

- Ali Abbas:https://www.youtube.com/watch?v=XC0GHcVf5bo

- Ustad Salamat Ali Khan https://www.youtube.com/watch?v=oNEjxstyxD0

- Naheed Akhtar: https://www.youtube.com/watch?v=4mF_GSn1XTA

- Jagjit Singh: https://www.youtube.com/watch?v=yfW4GiBL_TY

- Madhushree: https://www.youtube.com/watch?v=TK11S0Nw-lA
",,,"December 6, 2024",Added
gul munʿakis huʾe haiñ bahut āb-jū ke bīch,Mir Taqi Mir,https://franpritchett.com/00garden/13c/1373/index_1373.html,,,,,"December 13, 2024",Added
log bahut pūchhā karte haiñ kyā kahye myāñ kyā hai ʿishq,Mir Taqi Mir,https://franpritchett.com/00garden/14c/1417/index_1417.html,,,,,"December 20, 2024",Added
rashk kahtā hai kih us kā ġhair se iḳhlāṣ ḥaif,Ghalib,https://franpritchett.com/00ghalib/042/index_042.html,,,,,"December 20, 2024",Added
"mohr Khat par aur hai qaasid, nishaani aur hai",Bahadur Shah Zafar,,https://urdushahkar.org/kahta-zabaani-aur-hai-bahadur-shah-zafar/,,,,"December 27, 2024",Added
żikr us parī-vash kā aur phir bayāñ apnā,Ghalib,https://franpritchett.com/00ghalib/043/index_043.html,,"- Begum Akhtar: https://www.youtube.com/watch?v=mblW0p4Nk0c

- Talat Mehmood: https://www.youtube.com/watch?v=5974jOuC3t0

- Mohd. Rafi: https://www.youtube.com/watch?v=km0sfouDZ2M

- Zia Mohyeddin: https://www.youtube.com/watch?v=eXsqlNT6_q0

- Shimona Roy: https://www.youtube.com/watch?v=UwpDoSN_BUo

- Vithal Rao: https://www.youtube.com/watch?v=JzmOldbiMAQ
",,,"January 3, 2025",Added
z̤ulm huʾe haiñ kyā kyā ham par ṣabr kiyā hai kyā kyā ham,Mir Taqi Mir,https://franpritchett.com/00garden/14c/1437/index_1437.html,,,,,"January 10, 2025",Added
jaur se bāz āʾe par bāz āʾeñ kyā,Ghalib,https://franpritchett.com/00ghalib/046/index_046.html,,"- Nayyara Noor: https://www.youtube.com/watch?v=S7uIrhC8RkU

- Nayyara Noor: https://www.youtube.com/watch?v=wzr09SbktOE

- Reading by Zia Mohyeddin: https://www.youtube.com/shorts/DQoGC-mExrQ

- Somesh Mathur: https://www.youtube.com/watch?v=0KbzPlJo4ZQ

- NAPA Student Performance: https://www.youtube.com/watch?v=v546P7Ot7eQ
",,,"January 10, 2025",Added
ʿishrat-e qat̤rah hai daryā meñ fanā ho jānā,Ghalib,https://franpritchett.com/00ghalib/048/index_048.html,,"- M.S. Subbulakshmi: https://www.youtube.com/watch?v=_EbIESRjc2I

- Shumona Roy Biswas https://www.youtube.com/watch?v=GJdUVhYhhuI

- Ustad Barkat Ali Khan: https://www.youtube.com/watch?v=UXyVVba5CaM

- Ananya Ashok: https://www.youtube.com/watch?v=p64XjylnSf8

- Aniqa Bano: https://www.youtube.com/watch?v=-sa0EAYzd_c
",,,"January 17, 2025",Added
phir huʾā vaqt kih ho bāl-kushā mauj-e sharāb,Ghalib,https://franpritchett.com/00ghalib/049/index_049.html,,,,,"January 24, 2025",Added
chalte ho to chaman ko chalye kahte haiñ kih bahārāñ hai,Mir Taqi Mir,https://franpritchett.com/00garden/15c/1504/index_1504.html,,,,,"January 24, 2025",Added
kab vaʿde kī rāt vuh āʾī jo āpas meñ nah laṛāʾī huʾī,Mir Taqi Mir,https://franpritchett.com/00garden/15c/1506/index_1506.html,,,,,"January 31, 2025",Added
afsos kih dandāñ kā kiyā rizq falak ne,Ghalib,https://franpritchett.com/00ghalib/050/index_050.html,,,,,"February 7, 2025",Added
mausam hai nikle shāḳhoñ se patte hare hare,Ghalib,https://franpritchett.com/00garden/15c/1507/index_1507.html,,,,,"February 7, 2025",Added
us ki hasrat hai jise dil se miTa bhi na sakuN,Ameer Meenai,,https://urdushahkar.org/chhupaa-bhi-na-sakun-amir-minaaii/,"- Ustad Iftekhar Ahmed Nizami: https://www.youtube.com/watch?v=CwBpcEpUqU4

- Subhan A. Nizami: https://www.youtube.com/watch?v=wvw-5ysoHOE

- Ranjeet Rajwada: https://www.youtube.com/watch?v=kLWPqT2IJUo

- Talat Mahmood: https://www.youtube.com/watch?v=i8IZ7prN5IU

- Jagjit and Chitra Singh: https://www.youtube.com/watch?v=Twm1dhUploM
",,,"February 14, 2025",Added
balā se haiñ jo bah pesh-e naz̤ar dar-o-dīvār,Ghalib,https://franpritchett.com/00ghalib/058/index_058.html,,,,,"February 14, 2025",Added
ajal ne ahd meN tere hi taqdiir se ye paiGhaam kiya,Sauda,,https://urdushahkar.org/qubool-islaam-kiya-mirza-rafii-sauda/,,,,"February 21, 2025",Added
āmad-e ḳhat̤ se huʾā hai sard jo bāzār-e dost,Ghalib,https://franpritchett.com/00ghalib/053/index_053.html,,,,,"February 21, 2025",Added
qahr hai maut hai qazā hai ishq,Momin Khan Momin,,https://www.rekhta.org/ghazals/qahr-hai-maut-hai-qazaa-hai-ishq-momin-khan-momin-ghazals?lang=ur,,,,"February 28, 2025",Added
kyā kyā ham ne ranj uṭhāʾe kyā kyā ham bhī shikebā the,Mir Taqi Mir,https://franpritchett.com/00garden/15c/1526/index_1526.html,,,,,"March 7, 2025",Added
nafas nah anjuman-e ārzū se bāhar kheñch,Ghalib,https://franpritchett.com/00ghalib/056/index_056.html,,,,,"March 14, 2025",Added
ne bulbul-e chaman na gul-e naudamiidaa huN,Sauda,,https://urdushahkar.org/shaakh-e-buriida-hun-mirza-rafii-sauda/,,,,"March 21, 2025",Added
mizshgaan-e tar huN yaa rag-e taak-e buriida huN,Mir Dard,,https://urdushahkar.org/ashk-e-chakiida-hun-khwaja-mir-dard/,,,,"March 21, 2025",Added
sauda-e ishq se dam-e sard-e kasheeda huN,Ghalib,,https://urdushahkar.org/andaleeb-e-gulshan-e-naa-aafriida-hun-mirza-ghalib/,,,,"March 28, 2025",Added
kyā din the vuh kih yāñ bhī dil-e āramīdah thā,Mir Taqi Mir,https://franpritchett.com/00garden/01c/0115/index_0115.html,,,,,"March 28, 2025",Added
ḥusn ġhamze kī kashākash se chhuṭā mere baʿd,Ghalib,https://franpritchett.com/00ghalib/057/index_057.html,,,,,"April 4, 2025",Added
balā se haiñ jo bah pesh-e naz̤ar dar-o-dīvār,Ghalib,https://franpritchett.com/00ghalib/058/index_058.html,,,,,"April 11, 2025",Added
kya sar pe rahe fikr ka Khurshiid-e mubiiN aur,Josh Malihabadi,,https://urdushahkar.org/ab-dhoond-jabiin-aur-josh-malihabadi/,,,,"April 18, 2025",Added
maiñ aa.heñ bhar nahīñ saktā ki naġhme gā nahīñ saktā,Majaz,,https://www.rekhta.org/nazms/majbuuriyaan-asrar-ul-haq-majaz-nazms?lang=ur,,,,"April 25, 2025",Added
āñkhoñ meñ jī mirā hai idhar yār dekhnā,Mir Taqi Mir,https://franpritchett.com/00garden/01c/0121/index_0121.html,,,,,"April 25, 2025",Added
ab mire paas tum aa.ī ho to kyā aa.ī ho,Majaz,,https://www.rekhta.org/nazms/e-tiraaf-asrar-ul-haq-majaz-nazms?lang=ur,,,,"May 2, 2025",Added
laraztā hai mirā dil zaḥmat-e mihr-e daraḳhshāñ par,Ghalib,https://franpritchett.com/00ghalib/061/index_061.html,,,,,"May 2, 2025",Added
fiqh ki garmi-e bazaar rahe gi kab tak,Josh Malihabadi,,https://urdushahkar.org/shab-e-taar-rahegi-kab-tak-josh-malihabadi/,,,,"May 9, 2025",Added
āñdhī chalī to naqsh-e-kaf-e-pā nahīñ milā,Mustafa Zaidi,,https://www.rekhta.org/ghazals/aandhii-chalii-to-naqsh-e-kaf-e-paa-nahiin-milaa-mustafa-zaidi-ghazals?sort=popularity-desc&lang=ur,"- Noor Jehan: https://www.youtube.com/watch?v=CrVFiYq38UI

- Abida Parveen: https://www.youtube.com/watch?v=BmdMl3jSJlM

- Ustad Parvaiz: https://www.youtube.com/watch?v=FvOnZXEevnM

- Naheed Akhtar: https://www.youtube.com/watch?v=otB77tdcRYw

- Asha Bhosle: https://www.youtube.com/watch?v=XX_zT3K0b3I

- Sonal: https://www.youtube.com/watch?v=j-hTtwfx8x4
",,,"May 16, 2025",Added
hai baskih har ik un ke ishāre meñ nishāñ aur,Ghalib,https://franpritchett.com/00ghalib/062/index_062.html,,"- Mohd. Rafi: https://www.youtube.com/watch?v=Cw_tlUykgGk

- Talat Aziz: https://www.youtube.com/watch?v=UCFD1gVKAM8

- Noor Jehan: https://www.youtube.com/watch?v=awx1zAxMi50
",,,"May 16, 2025",Added
kuchh haiñ manzar haal ke kuchh ḳhvāb mustaqbil ke haiñ,Saleem Ahmed,,https://www.rekhta.org/ghazals/kuchh-hain-manzar-haal-ke-kuchh-khvaab-mustaqbil-ke-hain-saleem-ahmed-ghazals?lang=ur,,,,"May 23, 2025",Added
ḳhabar-e-tahayyur-e-ishq sun na junūñ rahā na parī rahī,Siraj Aurangabadi,,https://www.rekhta.org/ghazals/khabar-e-tahayyur-e-ishq-sun-na-junuun-rahaa-na-parii-rahii-siraj-aurangabadi-ghazals?lang=ur,"- Munshi Raziuddin: https://www.youtube.com/watch?v=-CE4v7KzSXI

- Farid Ayaz & Abu Mohammad: https://www.youtube.com/watch?v=Bb5XaLXZ2iM

- Abida Parveen: https://www.youtube.com/watch?v=EcxkAyG3FbM

- Shaukat Ali: https://www.youtube.com/watch?v=fMsptjSnEv4

- Ali Sethi: https://www.youtube.com/watch?v=Ef4gGOX1F4o

- Ghayoor Moiz Mustafa: https://www.youtube.com/watch?v=eu0mQt7e3XU

- Mukhtiyar Ali: https://www.youtube.com/watch?v=Ft8RbbHx1Ls

- Farid Khairabadi: https://www.youtube.com/watch?v=g9II9lk_9dw

- Sanjeev + Karuna: https://www.youtube.com/watch?v=FkUeAyfr6bY",,,"May 30, 2025",Added
ʿishq-e ṣamad meñ jān chalī vuh chāhat kā armān gayā,Mir Taqi Mir,https://franpritchett.com/00garden/15c/1554/index_1554.html,,,,,"June 13, 2025",Added
detī nahīñ amaañ jo zamīñ āsmāñ to hai,Munir Niazi,,https://www.rekhta.org/ghazals/detii-nahiin-amaan-jo-zamiin-aasmaan-to-hai-muneer-niyazi-ghazals?sort=popularity-desc&lang=ur,,"- Interview of Muneer Niyazi by Parveen Shakir: https://www.youtube.com/watch?v=Sv-c1Pm2hiw
",,"June 13, 2025",Added
tire ishq kī intihā chāhtā huuñ,Iqbal,,https://www.rekhta.org/ghazals/tire-ishq-kii-intihaa-chaahtaa-huun-allama-iqbal-ghazals?sort=popularity-desc&lang=ur,"- Rahat Fateh Ali Khan: https://www.youtube.com/watch?v=4CTwKrsshBM

- Tuqeer Ali Khan & Khurram Ali Khan: https://www.youtube.com/watch?v=fa0X5OSBvcI

- Asrar: https://www.youtube.com/watch?v=lHEmw13T4CA

- Muhammad Samie: https://www.youtube.com/watch?v=2WpEMXlqljE

- Malika Pukhraj: https://www.youtube.com/watch?v=8IwQyTBwdJQ

- Tahira Syed: https://www.youtube.com/watch?v=aCMk9oh4ijc

- Radhika Chopra: https://www.youtube.com/watch?v=brNfbbqQuOg

- Ghulam Abbas Khan & Shilpi Mishra: https://www.youtube.com/watch?v=IVQF9aV5Dr8",,,"June 20, 2025",Added
junūñ kī dast-gīrī kis se ho gar ho nah ʿuryānī,Ghalib,https://franpritchett.com/00ghalib/064/index_064.html,,,,,"June 20, 2025",Added
saaya gulban par agar paR jaaye mujh dilgiir ka,Imam Baksh Nasikh,,https://urdushahkar.org/ghuncha-e-tasviir-ka-imaam-bakhsh-naasikh/,,,,"June 27, 2025",Added
tāb-e ʿishq nahīñ hai dil ko jī bhī be-t̤āqat hai ab,Mir Taqi Mir,https://franpritchett.com/00garden/15c/1577/index_1577.html,,,,,"June 27, 2025",Added
kuchh to havā bhī sard thī kuchh thā tirā ḳhayāl bhī,Parveen Shakir,,https://www.rekhta.org/ghazals/kuchh-to-havaa-bhii-sard-thii-kuchh-thaa-tiraa-khayaal-bhii-parveen-shakir-ghazals?lang=ur,"- Nusrat Fateh Ali Khan: https://www.youtube.com/watch?v=QjUKd_PXNPY

- Parveen Shakir: https://www.youtube.com/watch?v=jnzwTp0BSKg

- Ghulam Ali: https://www.youtube.com/watch?v=9W1WpGHl2Zw

- Hina Nasarullah: https://www.youtube.com/watch?v=FRhFmJpXmCM

- Mehnaz: https://www.youtube.com/watch?v=3pasgbkr09c

- Faisal: https://www.youtube.com/watch?v=6akiQVGpRKs

- Azra Riaz: https://www.youtube.com/watch?v=M0SVgrlf0Ww

- Moin Mir: https://www.youtube.com/watch?v=ogjkGIGCPDk
",,,"July 25, 2025",Added
lāzim thā kih dekho mirā rastā koʾī din aur,Ghalib,https://franpritchett.com/00ghalib/066/index_066.html,,,,,"July 25, 2025",Added
mere ham-nafas mere ham-navā mujhe dost ban ke daġhā na de,Shakeel Badayuni,,https://www.rekhta.org/ghazals/mire-ham-nafas-mire-ham-navaa-mujhe-dost-ban-ke-dagaa-na-de-shakeel-badayuni-ghazals?lang=ur,"- Begum Akhtar: https://www.youtube.com/watch?v=XYgG6SiX7ZE

- Pratibha Singh Baghel: https://www.youtube.com/watch?v=yatjChKNqbs

- Ali Sethi: https://www.youtube.com/watch?v=xfhCBEt8Xds

- Sabri Brothers: https://www.youtube.com/watch?v=5cEtWzcRRaw

- Farida Khanum: https://www.youtube.com/watch?v=uSegjVbrW-Y

- Ali Raza:https://www.youtube.com/watch?v=0AtzYBWzTmI

- Jagjit Singh: https://www.youtube.com/watch?v=2qykIOqFrbk

- Ustad Raza Ali Khan: https://www.youtube.com/watch?v=LsjFNqRx4zo

- Humera Channa: https://www.youtube.com/watch?v=YCvXlY3PIhc

- Shashi Taneja: https://www.youtube.com/watch?v=DqF72mKuFYs

- Munni Begum: https://www.youtube.com/watch?v=QbgYrF0PMb8

- Sakhawat Khan: https://www.youtube.com/watch?v=tMCHLMPU_1E

- Radhika Chopra: https://www.youtube.com/watch?v=uHP_6djzgPM",,,"August 1, 2025",Added
kāvish se un palkoñ kī rahtī hai ḳhalish sī jigar meñ ab,Mir Taqi Mir,https://franpritchett.com/00garden/15c/1579/index_1579.html,,,,,"August 1, 2025",Added
gar vahaaN bhi ye Khamoshi-asar afGhaaN hoga,Momin Khan Momin,,https://urdushahkar.org/koii-to-sukhandaan-hoga-momin-khaan-momin/,,,,"August 8, 2025",Added
fāriġh mujhe nah jān kih mānind-e ṣubḥ-o-mihr,Ghalib,https://franpritchett.com/00ghalib/067/index_067.html,,,,,"August 8, 2025",Added
"mohr Khat par aur hai qaasid, nishaani aur hai",Bahadur Shah Zafar,,https://urdushahkar.org/kahta-zabaani-aur-hai-bahadur-shah-zafar/,,,,"August 15, 2025",Added
kis tāzah maqtal pah kushande terā huʾā hai gużārā āj,Mir Taqi Mir,https://franpritchett.com/00garden/15c/1589/index_1589.html,,,,,"August 15, 2025",Added
dekhiye ho ga.ī badnām masīhā.ī bhī,Qamar Jalalvi,,https://www.rekhta.org/ghazals/dekhiye-ho-gaii-badnaam-masiihaaii-bhii-qamar-jalalvi-ghazals?lang=ur,,,,"August 22, 2025",Added
ḥarīf-e mat̤lab-e mushkil nahīñ fusūn-e niyāz,Ghalib,https://franpritchett.com/00ghalib/068/index_068.html,,,,,"August 22, 2025",Added
shahr se yār savār huʾā jo savād meñ ḳhūb ġhubār hai āj,Mir Taqi Mir,https://franpritchett.com/00garden/15c/1590/index_1590.html,,,,,"August 29, 2025",Added
ḳhudī kā nashsha chaḌhā aap meñ rahā na gayā,Yagana Changezi,,https://www.rekhta.org/ghazals/khudii-kaa-nashsha-chadhaa-aap-men-rahaa-na-gayaa-yagana-changezi-ghazals?lang=ur,,,,"September 5, 2025",Added
